
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
       1   -0.433012701900E-08 -0.250000000000E-08  0.190000000000E-06
       2   -0.250000000000E-08 -0.433012701900E-08  0.190000000000E-06
       3     0.00000000000     -0.500000000000E-08  0.190000000000E-06
       4     0.00000000000       0.00000000000      0.190000000000E-06
       5    0.250000000000E-08 -0.433012701900E-08  0.190000000000E-06
       6    0.433012701900E-08 -0.250000000000E-08  0.190000000000E-06
       7     0.00000000000       0.00000000000      0.237500000000E-07
       8     0.00000000000       0.00000000000      0.475000000000E-07
       9     0.00000000000       0.00000000000      0.712500000000E-07
      10     0.00000000000       0.00000000000      0.950000000000E-07
      11     0.00000000000       0.00000000000      0.118750000000E-06
      12     0.00000000000       0.00000000000      0.142500000000E-06
      13     0.00000000000       0.00000000000      0.166250000000E-06
      14     0.00000000000       0.00000000000       0.00000000000    
      15    0.320429399400E-07  0.185000000000E-07   0.00000000000    
      16    0.285788383249E-07  0.165000000000E-07  0.237500000000E-07
      17    0.251147367097E-07  0.145000000000E-07  0.475000000000E-07
      18    0.216506350946E-07  0.125000000000E-07  0.712500000000E-07
      19    0.181865334795E-07  0.105000000000E-07  0.950000000000E-07
      20    0.147224318644E-07  0.850000000000E-08  0.118750000000E-06

   NODE        X                   Y                   Z
      21    0.112583302492E-07  0.650000000000E-08  0.142500000000E-06
      22    0.433012701900E-08  0.250000000000E-08  0.190000000000E-06
      23    0.779422863413E-08  0.450000000000E-08  0.166250000000E-06
      24    0.330000000000E-07   0.00000000000      0.237500000000E-07
      25    0.290000000000E-07   0.00000000000      0.475000000000E-07
      26    0.250000000000E-07   0.00000000000      0.712500000000E-07
      27    0.210000000000E-07   0.00000000000      0.950000000000E-07
      28    0.170000000000E-07   0.00000000000      0.118750000000E-06
      29    0.130000000000E-07   0.00000000000      0.142500000000E-06
      30    0.900000000000E-08   0.00000000000      0.166250000000E-06
      31    0.370000000000E-07   0.00000000000       0.00000000000    
      32    0.500000000000E-08   0.00000000000      0.190000000000E-06
      33    0.320429399400E-07 -0.185000000000E-07   0.00000000000    
      34    0.285788383249E-07 -0.165000000000E-07  0.237500000000E-07
      35    0.251147367097E-07 -0.145000000000E-07  0.475000000000E-07
      36    0.216506350946E-07 -0.125000000000E-07  0.712500000000E-07
