
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
1    0.420000000000E-07  0.320000000000E-07  0.190000000000E-06
2    0.740000000000E-07   0.00000000000       0.00000000000    
3    0.460000000000E-07  0.280000000000E-07  0.166250000000E-06
4    0.500000000000E-07  0.240000000000E-07  0.142500000000E-06
5    0.540000000000E-07  0.200000000000E-07  0.118750000000E-06
6    0.580000000000E-07  0.160000000000E-07  0.950000000000E-07
7    0.620000000000E-07  0.120000000000E-07  0.712500000000E-07
8    0.660000000000E-07  0.800000000000E-08  0.475000000000E-07
9    0.700000000000E-07  0.400000000000E-08  0.237500000000E-07
10     0.00000000000       0.00000000000       0.00000000000    
11    0.185000000000E-07   0.00000000000       0.00000000000    
12    0.370000000000E-07   0.00000000000       0.00000000000    
13    0.555000000000E-07   0.00000000000       0.00000000000    
14    0.320000000000E-07  0.320000000000E-07  0.190000000000E-06
15    0.280000000000E-07  0.280000000000E-07  0.166250000000E-06
16    0.240000000000E-07  0.240000000000E-07  0.142500000000E-06
17    0.200000000000E-07  0.200000000000E-07  0.118750000000E-06
18    0.160000000000E-07  0.160000000000E-07  0.950000000000E-07
19    0.120000000000E-07  0.120000000000E-07  0.712500000000E-07
20    0.800000000000E-08  0.800000000000E-08  0.475000000000E-07
21    0.400000000000E-08  0.400000000000E-08  0.237500000000E-07
22    0.345000000000E-07  0.320000000000E-07  0.190000000000E-06
23    0.370000000000E-07  0.320000000000E-07  0.190000000000E-06
24    0.395000000000E-07  0.320000000000E-07  0.190000000000E-06
25    0.415000000000E-07  0.280000000000E-07  0.166250000000E-06
26    0.370000000000E-07  0.280000000000E-07  0.166250000000E-06
27    0.325000000000E-07  0.280000000000E-07  0.166250000000E-06
    28    0.435000000000E-07  0.240000000000E-07  0.142500000000E-06
      29    0.370000000000E-07  0.240000000000E-07  0.142500000000E-06
      30    0.305000000000E-07  0.240000000000E-07  0.142500000000E-06
      31    0.455000000000E-07  0.200000000000E-07  0.118750000000E-06
      32    0.370000000000E-07  0.200000000000E-07  0.118750000000E-06
      33    0.285000000000E-07  0.200000000000E-07  0.118750000000E-06
      34    0.475000000000E-07  0.160000000000E-07  0.950000000000E-07
      35    0.370000000000E-07  0.160000000000E-07  0.950000000000E-07
      36    0.265000000000E-07  0.160000000000E-07  0.950000000000E-07
      37    0.495000000000E-07  0.120000000000E-07  0.712500000000E-07
      38    0.370000000000E-07  0.120000000000E-07  0.712500000000E-07
      39    0.245000000000E-07  0.120000000000E-07  0.712500000000E-07
      40    0.515000000000E-07  0.800000000000E-08  0.475000000000E-07
      41    0.370000000000E-07  0.800000000000E-08  0.475000000000E-07
      42    0.225000000000E-07  0.800000000000E-08  0.475000000000E-07
      43    0.535000000000E-07  0.400000000000E-08  0.237500000000E-07
      44    0.370000000000E-07  0.400000000000E-08  0.237500000000E-07
      45    0.205000000000E-07  0.400000000000E-08  0.237500000000E-07
      46     0.00000000000      0.740000000000E-07   0.00000000000    
      47     0.00000000000      0.555000000000E-07   0.00000000000    
      48     0.00000000000      0.370000000000E-07   0.00000000000    
      49     0.00000000000      0.185000000000E-07   0.00000000000    
      50    0.740000000000E-07  0.740000000000E-07   0.00000000000    
      51    0.740000000000E-07  0.555000000000E-07   0.00000000000    
      52    0.740000000000E-07  0.370000000000E-07   0.00000000000    
      53    0.740000000000E-07  0.185000000000E-07   0.00000000000    
      54    0.555000000000E-07  0.740000000000E-07   0.00000000000    
